Species	otu	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison	variable	significant
Clostridium_methylpentosum	Otu_418	5.072973809161475	1.7654197478941596	3.284598233888228	0.11282237837314762	0.3031563144072364	female_vs_male	gender	no
Gardnerella_vaginalis	Otu_44	6.491729526272624	-1.714746951101971	3.239727499043262	0.11800810704907883	0.3146882854642102	female_vs_male	gender	no
Flavonifractor_sp_An10	Otu_411	59.133517357828836	1.5711625967871776	2.977239807568584	0.12305853969975213	0.3232582535396474	female_vs_male	gender	no
Citrobacter_youngae	Otu_545	6.139382561954664	-1.6711723955796047	3.195842362896554	0.12233950283648501	0.3232582535396474	female_vs_male	gender	no
Sellimonas_intestinalis	Otu_388	4571.535522361987	1.0505687798950267	1.3446100900940126	0.12425508535336827	0.3239836299584121	female_vs_male	gender	no
Ruminococcus_sp_CAG_563	Otu_431	5.776174913521996	-1.624218737090435	3.1479987079778353	0.1272870262752058	0.329448773888768	female_vs_male	gender	no
Bacteroides_uniformis	Otu_111	148787.3475371733	0.8194318513174262	0.6440179962157023	0.1313115050192496	0.33516063941127994	female_vs_male	gender	no
Gemmiger_formicilis	Otu_413	35077.38492203886	-0.6885748071830908	0.5071289840286282	0.13235036613115886	0.33516063941127994	female_vs_male	gender	no
Fusobacterium_gonidiaformans	Otu_506	5.456958940639644	-1.5817768953092253	3.10425975896754	0.13202968837470336	0.33516063941127994	female_vs_male	gender	no
Actinomyces_massiliensis	Otu_8	5.119613441518742	-1.536392182987763	3.0562747815564557	0.13734434022349026	0.3428738138912665	female_vs_male	gender	no
Lactonifactor_longoviformis	Otu_303	5.172397652381735	-1.5432242643705119	3.064127013400807	0.13657816289818167	0.3428738138912665	female_vs_male	gender	no
Bacteroides_xylanisolvens	Otu_113	11032.24141712175	-0.938070290032142	0.9054344431916013	0.1404978966373876	0.34827647617155233	female_vs_male	gender	no
Lawsonibacter_asaccharolyticus	Otu_312	4447.052299506346	-0.8707450546784259	0.7551301899683489	0.14273198218449049	0.3494603036099205	female_vs_male	gender	no
Firmicutes_bacterium_CAG_170	Otu_450	11656.159237331238	-0.9612008398627995	1.0667672812940399	0.14296103329496745	0.3494603036099205	female_vs_male	gender	no
Massiliomicrobiota_timonensis	Otu_445	194.7481555823782	1.0387297061708736	1.6702684303398279	0.14537218326986068	0.35290350697235146	female_vs_male	gender	no
Clostridium_scindens	Otu_369	213.93409541366736	1.05189914405167	1.7536077218640713	0.14706898201156032	0.3545772716991043	female_vs_male	gender	no
Blautia_hansenii	Otu_337	71.01655372591935	-1.3019077074979448	2.578448304807618	0.1482324832245674	0.35495125234726344	female_vs_male	gender	no
Veillonella_rogosae	Otu_489	4.462723254507964	-1.4409511750701236	2.9558463443240592	0.14988694758003726	0.35648787532549403	female_vs_male	gender	no
Clostridium_citroniae	Otu_364	1794.0911616799726	-0.9037558163008224	0.9761171092459312	0.16138514932999914	0.3812588762695282	female_vs_male	gender	no
Lactobacillus_rhamnosus	Otu_219	253.2501916824954	-1.0879172970478381	2.113302557126725	0.16560876371053582	0.3886285655073907	female_vs_male	gender	no
Lactobacillus_sakei	Otu_223	181.4331401665037	-0.9768846054612509	1.6922184382594987	0.16713160537342772	0.38960480193010966	female_vs_male	gender	no
Bacteroides_galacturonicus	Otu_98	311.91740431052926	-0.8844422358964645	1.2827045752598123	0.17990712912085602	0.4033586589206453	female_vs_male	gender	no
Bacteroides_ovatus	Otu_102	27196.67337150367	0.8423391895704129	0.8451465089691035	0.17547338340011806	0.4033586589206453	female_vs_male	gender	no
Eubacterium_sp_OM08_24	Otu_329	3.375275729331847	-1.2675287696857824	2.7665705880864637	0.1775160307997206	0.4033586589206453	female_vs_male	gender	no
Blautia_producta	Otu_340	179.32084562689738	1.0041783845897287	1.960467791406043	0.17966576865438005	0.4033586589206453	female_vs_male	gender	no
Blautia_sp_An249	Otu_341	1.8533475123644556	1.2637846246224045	2.7574697023465298	0.177643106033259	0.4033586589206453	female_vs_male	gender	no
Clostridium_spiroforme	Otu_438	862.2249963430498	0.8780157251752004	1.1672830793138855	0.17965963000888757	0.4033586589206453	female_vs_male	gender	no
Adlercreutzia_equolifaciens	Otu_79	3672.55829797129	0.8661374741771596	1.0910376694029265	0.18318719775932218	0.4081132507043127	female_vs_male	gender	no
Blautia_wexlerae	Otu_344	104280.16463859974	0.5733580209998745	0.48248488634684933	0.19242066733641194	0.4259878924680315	female_vs_male	gender	no
Clostridium_bolteae	Otu_363	9527.68877150696	0.8152070045139566	0.9229164966749159	0.1997765240883393	0.4395083529943465	female_vs_male	gender	no
Bacteroides_clarus	Otu_88	1615.2049910977914	0.835829437243374	1.321248141616284	0.2021265746851355	0.44191648626812235	female_vs_male	gender	no
Clostridium_lavalense	Otu_367	399.2735140263536	-0.8193883347982893	1.1836088491978378	0.20674988404594696	0.4492343159516872	female_vs_male	gender	no
Leuconostoc_citreum	Otu_232	2.458487321769741	-1.0976350688908731	2.575373616038225	0.21292678368434878	0.4598173488152808	female_vs_male	gender	no
Acidaminococcus_intestini	Otu_461	28053.918639586598	-0.8034721686597868	1.1672183771795261	0.21437948556866618	0.46013157878152744	female_vs_male	gender	no
Actinomyces_sp_S6_Spd3	Otu_16	5.999743596789682	1.031508223265044	2.4209644848532763	0.21957139282733926	0.46559717033267123	female_vs_male	gender	no
Eubacterium_rectale	Otu_376	756248.9433585013	-0.6617619711643754	0.6351954368464932	0.2188646016881787	0.46559717033267123	female_vs_male	gender	no
