taxa_id;W;detected_0.9;detected_0.8;detected_0.7;detected_0.6;mean_qval;median_qval;fisher_qval;clr_mean_diff;structural_zero;x_label;y_label;comparison;cat_var
Enorma;0;FALSE;FALSE;FALSE;FALSE;0.9230700641747963;0.9651014126134357;1;-0.28276906683618785;No;-0.5851195907949027;21;low_mid;CD4after_48
Slackia;2;FALSE;FALSE;FALSE;FALSE;0.7060319286975674;0.7375723059865087;0.9990845306406291;-0.005014515172946897;No;-0.5851195907949027;21;low_mid;CD4after_48
Bacteroides;0;FALSE;FALSE;FALSE;FALSE;0.9635508149617109;1;1;0.06256129752092375;No;-0.5851195907949027;21;low_mid;CD4after_48
Odoribacter;1;FALSE;FALSE;FALSE;FALSE;0.4216679145965459;0.5349787293820435;0.08715594559467799;-0.03690399305605714;No;-0.5851195907949027;21;low_mid;CD4after_48
Prevotella;4;FALSE;FALSE;FALSE;FALSE;0.32515890932607283;0.20106682499209022;0.001446829466371048;-0.5851195907949027;No;-0.5851195907949027;21;low_mid;CD4after_48
Alistipes;0;FALSE;FALSE;FALSE;FALSE;0.9733754860946533;1;1;-0.30334836985565156;No;-0.5851195907949027;21;low_mid;CD4after_48
Parabacteroides;1;FALSE;FALSE;FALSE;FALSE;0.6169058922100282;0.5594352150121471;0.9918347111885893;0.03589123566550533;No;-0.5851195907949027;21;low_mid;CD4after_48
Lactobacillus;12;FALSE;FALSE;FALSE;FALSE;0.11473645038762313;0.058803626212276486;9.356695491502107e-14;-0.28874572372645474;No;-0.5851195907949027;21;low_mid;CD4after_48
Streptococcus;2;FALSE;FALSE;FALSE;FALSE;0.2584964907282568;0.21995017512103276;0.0012862119706958078;0.464758623017483;No;-0.5851195907949027;21;low_mid;CD4after_48
Eubacterium;3;FALSE;FALSE;FALSE;FALSE;0.4168565525183414;0.38027135545459045;0.1782993752449146;0.19906380127036877;No;-0.5851195907949027;21;low_mid;CD4after_48
Anaerostipes;0;FALSE;FALSE;FALSE;FALSE;0.7129227647062603;0.7536185710971081;0.9999983978871965;0.33946678781091844;No;-0.5851195907949027;21;low_mid;CD4after_48
Blautia;0;FALSE;FALSE;FALSE;FALSE;0.676493148795734;0.6923254144944091;0.999868262576959;0.1657421577999165;No;-0.5851195907949027;21;low_mid;CD4after_48
Coprococcus;0;FALSE;FALSE;FALSE;FALSE;0.822364394548212;0.8527808039950141;0.9999999999069002;0.026681531100623913;No;-0.5851195907949027;21;low_mid;CD4after_48
Dorea;2;FALSE;FALSE;FALSE;FALSE;0.6155050027093131;0.7000493262856782;0.9697364409151443;-0.06273151054425374;No;-0.5851195907949027;21;low_mid;CD4after_48
Fusicatenibacter;0;FALSE;FALSE;FALSE;FALSE;0.4861628887087135;0.5108197954296566;0.7552561797071371;0.21873232251864647;No;-0.5851195907949027;21;low_mid;CD4after_48
Lachnospiraceae_unclassified;0;FALSE;FALSE;FALSE;FALSE;0.893228798330985;0.9213654871866258;1;0.05324310226936385;No;-0.5851195907949027;21;low_mid;CD4after_48
Roseburia;0;FALSE;FALSE;FALSE;FALSE;0.8035659096720429;0.898842871726203;0.9999999998642005;-0.11022987252052194;No;-0.5851195907949027;21;low_mid;CD4after_48
Oscillibacter;0;FALSE;FALSE;FALSE;FALSE;0.6186098710432338;0.6520942189889927;0.9989716095616956;0.10860297744583802;No;-0.5851195907949027;21;low_mid;CD4after_48
Agathobaculum;0;FALSE;FALSE;FALSE;FALSE;0.8027920854512565;0.8247009706968528;0.9999999985974236;0.3027338274359925;No;-0.5851195907949027;21;low_mid;CD4after_48
Faecalibacterium;0;FALSE;FALSE;FALSE;FALSE;0.7931589249369437;0.8011672347928639;0.9999999990830066;-0.17428156948430412;No;-0.5851195907949027;21;low_mid;CD4after_48
Flavonifractor;0;FALSE;FALSE;FALSE;FALSE;0.8640362970746412;0.8143266147935195;0.9999999999999996;0.36595522429879884;No;-0.5851195907949027;21;low_mid;CD4after_48
Gemmiger;0;FALSE;FALSE;FALSE;FALSE;0.7237534290239852;0.7281970255745446;0.9999982840900726;-0.005723213565679374;No;-0.5851195907949027;21;low_mid;CD4after_48
Ruminococcaceae_unclassified;0;FALSE;FALSE;FALSE;FALSE;0.4681338068602288;0.38007637798300353;0.7658454554324742;-0.5389101073377272;No;-0.5851195907949027;21;low_mid;CD4after_48
Ruminococcus;0;FALSE;FALSE;FALSE;FALSE;0.8941993908036107;0.8679888049388492;1;-0.16910277803512908;No;-0.5851195907949027;21;low_mid;CD4after_48
Ruthenibacterium;0;FALSE;FALSE;FALSE;FALSE;0.6455803630025897;0.6847303062381558;0.9999007356000942;0.12989484932326234;No;-0.5851195907949027;21;low_mid;CD4after_48
Holdemanella;0;FALSE;FALSE;FALSE;FALSE;0.8504505549279153;1;0.9999999999998185;0.012392313997268523;No;-0.5851195907949027;21;low_mid;CD4after_48
Firmicutes_unclassified;0;FALSE;FALSE;FALSE;FALSE;0.9266279679932077;0.9339669760059303;1;0.06254085494200179;No;-0.5851195907949027;21;low_mid;CD4after_48
Phascolarctobacterium;0;FALSE;FALSE;FALSE;FALSE;0.3711295446173479;0.3399484621861475;0.10868377962627723;-0.38144517510322656;No;-0.5851195907949027;21;low_mid;CD4after_48
